KAZA TURU,KAZA TARIHI,AY,MEVSİM,KAZA SAAT,ILCE,MAHALLE,YOL,OLU SAYISI,YARALI SAYISI,TASIT SAYISI,SURUCU KUSURU,OLUS NEDENI,KAPLAMA CINSI,SERIT SAYISI,AYDINLATMA,YASAL HIZ LIMITI,ARAC CINSI,ARAC MODELI,SURUCU CINSIYET,SURUCU EGITIM DURUMU,EHLIYET YILI
Yaralamali,1/2/2013,1,kis,0,MELIKGAZI,KOSK,TALAS BULV.,,1,2,52/1-d,Duran araca carpma,Asfalt,3,Var,50,Otomobil,1992,kadin,ILKOKUL,1
Yaralamali,1/2/2013,1,kis,17,MELIKGAZI,OSMAN KAVUNCU,OSMAN KAVUNCU BULV.,,1,2,56/1-c,Arkadan carpma,Asfalt,3,Var,50,Otomobil,2001,erkek,2 YIL SURELI YUKSEK,2
Yaralamali,1/3/2013,1,kis,20,MELIKGAZI,YILDIRIM BEYAZIT,ARIF CD.,,1,2,47/1-b,Yandan carpma,Asfalt,3,Var,50,Minibus,1987,erkek,ILKOKUL,4
Yaralamali,1/4/2013,1,kis,7,TALAS,HARMAN,,,10,2,52/1-b,Yandan carpma,Asfalt,2,Yok,50,Minibus,2001,erkek,ILKOGRETIM,4
Yaralamali,1/4/2013,1,kis,16,MELIKGAZI,EGRIBUCAK,EGRIBUCAK CD.,,6,2,52/1-a,Arkadan carpma,Asfalt,2,Yok,70,Otomobil,1998,erkek,2 YIL SURELI YUKSEK,3
Yaralamali,1/5/2013,1,kis,6,TALAS,BAHCELIEVLER,,,1,1,52/1-b,Yoldan cikma,Asfalt,3,Var,50,Kamyonet,1998,erkek,ILKOGRETIM,13
Yaralamali,1/5/2013,1,kis,13,MELIKGAZI,SIRINTEPE,GAFFAR OKKAN BULV.,,1,1,52/1-b,Yayaya carpma,Asfalt,3,Var,50,Kamyonet,1996,erkek,ILKOKUL,14
Yaralamali,1/5/2013,1,kis,23,MELIKGAZI,ALTINOLUK,REYHAN CD.,,2,1,52/1-b,"Devrilme,savrulma,takla",Asfalt,3,Var,50,Otomobil,1992,erkek,LISE VE DENGI OKUL,3
Yaralamali,1/7/2013,1,kis,8,TALAS,YENIDOGAN,6132. SK.,,1,2,57/1-a,Yandan carpma,Asfalt,1,Var(Bozuk),40,Otobus,2004,erkek,LISE VE DENGI OKUL,3
Yaralamali,1/8/2013,1,kis,21,KOCASINAN,CIRGALAN,AKKAS KUM.EV.,,1,1,52/1-b,Yoldan cikma,Asfalt,3,Var,70,Otomobil,2009,erkek,ILKOKUL,22
Yaralamali,1/10/2013,1,kis,11,MELIKGAZI,HURRIYET,BARAJLI SK.,,1,1,52/1-b,Yayaya carpma,Asfalt,2,Var,50,Otomobil,1994,erkek,LISE VE DENGI OKUL,5
Yaralamali,1/11/2013,1,kis,20,KOCASINAN,SANCAKTEPE,ERKILET BULV.,,4,2,53/1-b,Yandan carpma,Asfalt,3,Var,50,Otomobil,1994,erkek,ILKOGRETIM,14
Yaralamali,1/12/2013,1,kis,11,MELIKGAZI,GULUK,YUNUS EMRE CD.,,1,2,52/1-b,Arkadan carpma,Asfalt,2,Var,50,Kamyonet,2003,erkek,LISE VE DENGI OKUL,0
Yaralamali,1/12/2013,1,kis,11,TALAS,YENIDOGAN,,,1,2,56/1-a,Duran araca carpma,Asfalt,2,Var,50,Otomobil,1997,erkek,ILKOKUL,0
Yaralamali,1/12/2013,1,kis,14,MELIKGAZI,AYDINLIKEVLER,OSMAN KAVUNCU BULV.,,1,4,56/1-c,Arkadan carpma,Asfalt,3,Var,50,Kamyonet,2004,erkek,2 YIL SURELI YUKSEK,2
Yaralamali,1/13/2013,1,kis,0,KOCASINAN,MEVLANA,BARIS MANCO CD.,,1,2,52/1-b,Duran araca carpma,Asfalt,2,Var,50,Otomobil,1992,erkek,ILKOGRETIM,21
Yaralamali,1/13/2013,1,kis,0,KOCASINAN,MEVLANA,BARIS MANCO CD.,,,2,52/1-b,Duran araca carpma,Asfalt,2,Var,50,Otomobil,1992,erkek,ILKOGRETIM,21
Yaralamali,1/13/2013,1,kis,13,MELIKGAZI,ALPASLAN,KIZILIRMAK CD.,,1,2,47/1-c,Yandan carpma,Asfalt,2,Var,50,Kamyonet,2006,erkek,ILKOGRETIM,22
Yaralamali,1/13/2013,1,kis,14,KOCASINAN,SANAYI,KOCASINAN BULV.,,2,2,56/1-c,Arkadan carpma,Asfalt,3,Var,70,Kamyonet,2004,erkek,LISE VE DENGI OKUL,1
